ticker,event_index,actual_date,predicted_date,abs_err_days,signed_err_days
A,49,2014-05-14,2014-05-15,1,1
A,50,2014-08-14,2014-08-13,1,-1
A,51,2014-11-17,2014-11-13,4,-4
A,52,2015-02-17,2015-02-16,1,-1
A,53,2015-05-18,2015-05-19,1,1
A,54,2015-08-17,2015-08-17,0,0
A,55,2015-11-16,2015-11-16,0,0
A,56,2016-02-16,2016-02-15,1,-1
A,57,2016-05-16,2016-05-17,1,1
A,58,2016-08-17,2016-08-15,2,-2
A,59,2016-11-15,2016-11-16,1,1
A,60,2017-02-14,2017-02-14,0,0
A,61,2017-05-22,2017-05-16,6,-6
A,62,2017-08-15,2017-08-21,6,6
A,63,2017-11-20,2017-11-14,6,-6
A,64,2018-02-14,2018-02-19,5,5
A,65,2018-05-14,2018-05-16,2,2
A,66,2018-08-14,2018-08-13,1,-1
A,67,2018-11-19,2018-11-13,6,-6
A,68,2019-02-20,2019-02-18,2,-2
A,69,2019-05-14,2019-05-22,8,8
A,70,2019-08-14,2019-08-13,1,-1
A,71,2019-11-25,2019-11-13,12,-12
A,72,2020-02-18,2020-02-24,6,6
A,73,2020-05-21,2020-05-19,2,-2
A,74,2020-08-18,2020-08-20,2,2
A,75,2020-11-23,2020-11-17,6,-6
A,76,2021-02-16,2021-02-22,6,6
A,77,2021-05-25,2021-05-18,7,-7
A,78,2021-08-17,2021-08-24,7,7
A,79,2021-11-22,2021-11-16,6,-6
A,80,2022-02-22,2022-02-21,1,-1
A,81,2022-05-24,2022-05-24,0,0
A,82,2022-08-16,2022-08-23,7,7
A,83,2022-11-21,2022-11-15,6,-6
A,84,2023-02-28,2023-02-20,8,-8
A,85,2023-05-23,2023-05-30,7,7
A,86,2023-08-15,2023-08-22,7,7
A,87,2023-11-20,2023-11-14,6,-6
A,88,2024-02-27,2024-02-19,8,-8
A,89,2024-05-29,2024-05-28,1,-1
A,90,2024-08-21,2024-08-28,7,7
A,91,2024-11-25,2024-11-20,5,-5
A,92,2025-02-26,2025-02-24,2,-2
A,93,2025-05-28,2025-05-28,0,0
A,94,2025-08-27,2025-08-27,0,0
