ticker,sector,source_url,fetched_date
A,Health Care,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AAPL,Information Technology,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
ABBV,Health Care,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
ABNB,Consumer Discretionary,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
ABT,Health Care,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
ACGL,Financials,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
ACN,Information Technology,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
ADBE,Information Technology,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
ADI,Information Technology,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
ADM,Consumer Staples,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
ADP,Industrials,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
ADSK,Information Technology,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AEE,Utilities,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AEP,Utilities,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AES,Utilities,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AFL,Financials,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AIG,Financials,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AIZ,Financials,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AJG,Financials,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AKAM,Information Technology,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
ALB,Materials,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
ALGN,Health Care,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
ALL,Financials,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
ALLE,Industrials,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AMAT,Information Technology,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AMCR,Materials,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AMD,Information Technology,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AME,Industrials,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AMGN,Health Care,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AMP,Financials,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AMT,Real Estate,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AMZN,Consumer Discretionary,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
ANET,Information Technology,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
AON,Financials,https://raw.githubusercontent.com/datasets/s-and-p-500-companies/main/data/constituents.csv,2026-08-29
