date,ticker,num_articles,avg_sentiment_score,avg_positive_score,avg_negative_score,avg_neutral_score,sentiment_std,min_sentiment,max_sentiment
2026-06-15,PLX,5,-0.5949150219559669,0.09207957312464714,0.6869946014136076,0.22092583049088715,0.4422247500829505,-0.9255769848823547,-0.007248230278491974
2026-06-16,PLX,4,-0.46927288360893726,0.018635747954249382,0.4879086413420737,0.49345562886446714,0.5284648126439421,-0.9281901717185974,-0.001875242218375206
2026-06-17,PLX,4,-0.30472368677146733,0.10611523874104023,0.41083893016912043,0.48304586857557297,0.42706430241363585,-0.9130550622940063,0.008933410979807377
2026-06-18,PLX,5,-0.5203613296151162,0.04271594174206257,0.5630772706121207,0.3942067733965814,0.4636882654805206,-0.8993694186210632,-0.001875242218375206
2026-06-19,PLX,5,-0.4344572011381388,0.07747163698077202,0.5119288321584463,0.41059952341020106,0.4611010497114634,-0.9279434084892273,-0.001875242218375206
2026-06-22,PLX,3,-0.2460915700842937,0.20860067072014013,0.4546922333538532,0.3367071272805333,0.5300215436958254,-0.8514388203620911,0.1346132457256317
2026-06-23,PLX,5,-0.4886867471039295,0.14606191739439964,0.6347486656159163,0.2191894211806357,0.39614205318232343,-0.9255769848823547,0.015960630029439926
2026-06-24,PLX,5,-0.41461270544677975,0.09354450963437558,0.5081572165712714,0.39829827640205623,0.44950300509466923,-0.9130550622940063,0.008933410979807377
2026-06-25,PLX,3,-0.6051666947702566,0.030532347038388252,0.6356990405668815,0.33376861922442913,0.5379285150113973,-0.9199401140213013,0.015960630029439926
2026-06-26,PLX,4,-0.6945954100228846,0.027131165377795696,0.7217265823855996,0.2511422198731452,0.45279284585704965,-0.9281901717185974,-0.015469783917069435
2026-06-29,PLX,5,-0.493774451315403,0.14644497819244862,0.6402194272726774,0.21333562079817056,0.39918275217085436,-0.9154488444328308,-0.007248230278491974
2026-06-30,PLX,3,-0.5954449245085319,0.03128057656188806,0.6267255091418823,0.34199392919739086,0.5151269385606019,-0.9255769848823547,-0.001875242218375206
