date,ticker,article_id,sentiment_score,sentiment_label,positive_score,negative_score,neutral_score,news_preview,model_version,processed_at
2026-06-25,ACB,ACB_ART_000,0.014457824639976025,Neutral,0.025278253480792046,0.010820428840816021,0.9639012217521667,"Asia Commercial Bank faces regulatory scrutiny over compliance requirements, may...",finbert_v1.0,2026-06-27 12:15:37
2026-06-25,ACB,ACB_ART_001,-0.015767786651849747,Neutral,0.008908911608159542,0.024676699191331863,0.9664143323898315,Asia Commercial Bank faces margin compression as operating costs rise faster tha...,finbert_v1.0,2026-06-27 12:15:37
2026-06-25,ACB,ACB_ART_002,-0.003887527622282505,Neutral,0.013390370644629002,0.017277898266911507,0.9693318009376526,"ACB warns of rising credit costs and narrowing net interest margin in H1 2026, c...",finbert_v1.0,2026-06-27 12:15:37
2026-06-25,ACB,ACB_ART_003,-0.9270521998405457,Negative,0.02457473985850811,0.9516269564628601,0.02379823476076126,ACB upgraded to 'Outperform' by investment bank citing strong fundamentals and g...,finbert_v1.0,2026-06-27 12:15:38
2026-06-25,ACB,ACB_ART_004,-0.9217736124992371,Negative,0.03001110628247261,0.9517847299575806,0.01820416934788227,"Asia Commercial Bank opens new branch network in 7 provinces across Vietnam, str...",finbert_v1.0,2026-06-27 12:15:38
2026-06-25,BID,BID_ART_000,-0.7943752408027649,Negative,0.09916577488183975,0.8935410380363464,0.007293202914297581,BID enters collaboration with international partner to expand Banking services i...,finbert_v1.0,2026-06-27 12:15:38
2026-06-25,BID,BID_ART_001,0.0006143609061837196,Neutral,0.012050085701048374,0.011435724794864655,0.9765141606330872,"Investment & Development Bank misses Q2 profit targets, net profit 1 trillion VN...",finbert_v1.0,2026-06-27 12:15:38
2026-06-25,BID,BID_ART_002,0.012632282450795174,Neutral,0.022450774908065796,0.009818492457270622,0.967730700969696,BID faces downward pressure from foreign investors selling amid Banking sector w...,finbert_v1.0,2026-06-27 12:15:38
2026-06-25,BID,BID_ART_003,-0.9159612655639648,Negative,0.030891699716448784,0.94685298204422,0.022255312651395798,"Investment & Development Bank surges to 2996 new accounts in Q2, exceeding custo...",finbert_v1.0,2026-06-27 12:15:38
2026-06-25,BID,BID_ART_004,0.017862074077129364,Neutral,0.02807389199733734,0.010211818851530552,0.9617143273353577,Investment & Development Bank faces regulatory scrutiny over compliance requirem...,finbert_v1.0,2026-06-27 12:15:38
2026-06-25,HDB,HDB_ART_000,0.010422417894005775,Neutral,0.020218851044774055,0.00979643315076828,0.9699848294258118,HDB faces downward pressure from foreign investors selling amid Banking sector w...,finbert_v1.0,2026-06-27 12:15:38
2026-06-25,HDB,HDB_ART_001,0.2786900997161865,Positive,0.6310532093048096,0.35236310958862305,0.01658368483185768,Housing Development Bank Board approves cash dividend of 2629 VND per share for ...,finbert_v1.0,2026-06-27 12:15:38
2026-06-25,HDB,HDB_ART_002,-0.8670329451560974,Negative,0.04806835576891899,0.9151012897491455,0.036830369383096695,HDB experiences increased competition from foreign banks entering Vietnamese Ban...,finbert_v1.0,2026-06-27 12:15:38
2026-06-25,MBB,MBB_ART_000,0.4316817820072174,Positive,0.7087621092796326,0.27708032727241516,0.014157550409436226,Military Commercial Joint Stock Bank Board approves cash dividend of 2810 VND pe...,finbert_v1.0,2026-06-27 12:15:38
2026-06-25,MBB,MBB_ART_001,-0.9133362770080566,Negative,0.03173186630010605,0.9450681209564209,0.023200061172246933,"Military Commercial Joint Stock Bank surges to 2191 new accounts in Q2, exceedin...",finbert_v1.0,2026-06-27 12:15:38
2026-06-25,MBB,MBB_ART_002,-0.004549678415060043,Neutral,0.013076148927211761,0.017625827342271805,0.9692980647087097,"MBB warns of rising credit costs and narrowing net interest margin in H1 2026, c...",finbert_v1.0,2026-06-27 12:15:38
2026-06-25,MBB,MBB_ART_003,0.017363600432872772,Neutral,0.027759214863181114,0.010395613498985767,0.9618452191352844,Military Commercial Joint Stock Bank faces regulatory scrutiny over compliance r...,finbert_v1.0,2026-06-27 12:15:38
2026-06-25,MBB,MBB_ART_004,-0.9124305248260498,Negative,0.03556862846016884,0.9479991793632507,0.016432173550128937,Military Commercial Joint Stock Bank signs strategic partnership with leading Ba...,finbert_v1.0,2026-06-27 12:15:38
2026-06-25,MSN,MSN_ART_000,-0.016833379864692688,Neutral,0.00899625662714243,0.025829635560512543,0.9651740789413452,Masan Group faces margin compression as operating costs rise faster than revenue...,finbert_v1.0,2026-06-27 12:15:38
2026-06-25,MSN,MSN_ART_001,0.6289578080177307,Positive,0.8084685206413269,0.1795107126235962,0.012020736932754517,"Masan Group Board approves cash dividend of 3659 VND per share for 2026, payable...",finbert_v1.0,2026-06-27 12:15:38
2026-06-25,MSN,MSN_ART_002,-0.9167460799217224,Negative,0.03259674087166786,0.9493428468704224,0.018060404807329178,"Masan Group receives 'Buy' recommendation from leading brokerage, target price r...",finbert_v1.0,2026-06-27 12:15:38
2026-06-25,MSN,MSN_ART_003,-0.0034795692190527916,Neutral,0.013725356198847294,0.017204925417900085,0.9690696597099304,"MSN warns of rising credit costs and narrowing net interest margin in H1 2026, c...",finbert_v1.0,2026-06-27 12:15:38
2026-06-25,PGV,PGV_ART_000,-0.9154329299926758,Negative,0.03519950807094574,0.9506324529647827,0.014168042689561844,Petrovietnam Gas signs strategic partnership with leading Energy firm to enhance...,finbert_v1.0,2026-06-27 12:15:38
2026-06-25,PGV,PGV_ART_001,-0.0004704669117927551,Neutral,0.016778049990534782,0.017248516902327538,0.965973436832428,"PGV warns of rising credit costs and narrowing net interest margin in H1 2026, c...",finbert_v1.0,2026-06-27 12:15:38
2026-06-25,PGV,PGV_ART_002,-0.9236754179000854,Negative,0.028970886021852493,0.9526463150978088,0.018382782116532326,"Petrovietnam Gas opens new branch network in 7 provinces across Vietnam, strengt...",finbert_v1.0,2026-06-27 12:15:38
2026-06-25,PGV,PGV_ART_003,-0.8632902503013611,Negative,0.0497843362390995,0.9130746126174927,0.03714107722043991,PGV experiences increased competition from foreign banks entering Vietnamese Ene...,finbert_v1.0,2026-06-27 12:15:38
2026-06-25,PGV,PGV_ART_004,-0.14572042226791382,Negative,0.378261923789978,0.5239823460578918,0.09775571525096893,PGV announces interim dividend of 1707 VND per share with record payout ratio...,finbert_v1.0,2026-06-27 12:15:38
2026-06-25,PLX,PLX_ART_000,0.015960630029439926,Neutral,0.025921063497662544,0.009960433468222618,0.964118480682373,Petrovietnam Power downgraded to 'Hold' by securities firm citing rising bad deb...,finbert_v1.0,2026-06-27 12:15:38
2026-06-25,PLX,PLX_ART_001,-0.9199401140213013,Negative,0.0295400507748127,0.9494801759719849,0.02097977139055729,"Petrovietnam Power surges to 2067 new accounts in Q2, exceeding customer acquisi...",finbert_v1.0,2026-06-27 12:15:38
2026-06-25,PLX,PLX_ART_002,-0.9115206003189087,Negative,0.036135926842689514,0.947656512260437,0.016207605600357056,"Petrovietnam Power receives 'Buy' recommendation from leading brokerage, target ...",finbert_v1.0,2026-06-27 12:15:38
2026-06-25,PNJ,PNJ_ART_000,-0.9256389141082764,Negative,0.02398979663848877,0.9496287107467651,0.026381568983197212,PNJ upgraded to 'Outperform' by investment bank citing strong fundamentals and g...,finbert_v1.0,2026-06-27 12:15:38
