date,ticker,num_articles,avg_sentiment_score,avg_positive_score,avg_negative_score,avg_neutral_score,sentiment_std,min_sentiment,max_sentiment
2026-06-15,ACB,4,-0.32209789543412626,0.09128246339969337,0.4133803560398519,0.4953371392330155,0.42968078182555897,-0.8985947370529175,0.009886055253446102
2026-06-16,ACB,5,-0.3622312180697918,0.21512310411781072,0.5773543262854218,0.20752259911969304,0.5860192374076345,-0.9316297173500061,0.4230101704597473
2026-06-17,ACB,3,-0.6127778791512052,0.024968997264901798,0.6377468820040425,0.33728407075007755,0.5392508125633678,-0.9270521998405457,0.009886055253446102
2026-06-18,ACB,5,-0.35370630864053965,0.030958750657737254,0.3846650578081608,0.5843761716037988,0.4728798912775842,-0.915356457233429,0.009886055253446102
2026-06-19,ACB,4,-0.600010097026825,0.1767064929008484,0.7767165899276733,0.04657692590262741,0.40812420657752113,-0.9321647882461548,-0.07214656472206116
2026-06-22,ACB,5,-0.7473652780055999,0.1067356165498495,0.8541008949279785,0.0391634788364172,0.3749731964238007,-0.9284313321113586,-0.07686403393745422
2026-06-23,ACB,3,-0.6205139296750227,0.02692958836754163,0.6474435230096182,0.325626897936066,0.5078989408890253,-0.9286475777626038,-0.03429947420954704
2026-06-24,ACB,3,-0.6174810507024328,0.022705439167718094,0.6401864892492691,0.33710806630551815,0.5313948211085401,-0.9270521998405457,-0.003887527622282505
2026-06-25,ACB,5,-0.37080466039478777,0.02043267637491226,0.3912373425439,0.5883299518376589,0.5054910132081607,-0.9270521998405457,0.014457824639976025
2026-06-26,ACB,3,-0.26851989421993494,0.03550272465993961,0.30402261887987453,0.6604747039576372,0.47174377618878305,-0.8131702542304993,0.011498099192976952
2026-06-29,ACB,5,-0.363720135204494,0.02352239042520523,0.387242528796196,0.5892350990325212,0.49443777545869894,-0.9118487238883972,0.011498099192976952
2026-06-30,ACB,5,-0.6392322659492493,0.16967558413743972,0.8089078426361084,0.021416539885103704,0.627479700579253,-0.9320152997970581,0.4830043315887451
